gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
7,8,0.02,0.753623188,0.732394366,0.742857143
7,15,0.01,0.753623188,0.732394366,0.742857143
8,7,0.02,0.753623188,0.732394366,0.742857143
8,8,0.02,0.753623188,0.732394366,0.742857143
8,15,0.01,0.753623188,0.732394366,0.742857143
2,5,0.1,0.710144928,0.777777778,0.742424242
2.5,3.5,0.133,0.710144928,0.777777778,0.742424242
3.5,2.5,0.01,0.710144928,0.777777778,0.742424242
3.5,2.5,0.02,0.710144928,0.777777778,0.742424242
3.5,3,0.02,0.710144928,0.777777778,0.742424242
3.5,3,0.01,0.710144928,0.777777778,0.742424242
3.5,3.5,0.01,0.710144928,0.777777778,0.742424242
3.5,3.5,0.02,0.710144928,0.777777778,0.742424242
2,20,0.01,0.724637681,0.757575758,0.740740741
2.5,5,0.01,0.724637681,0.757575758,0.740740741
2.5,5,0.02,0.724637681,0.757575758,0.740740741
2.5,5,0.04,0.724637681,0.757575758,0.740740741
2.5,6,0.01,0.724637681,0.757575758,0.740740741
2.5,6,0.02,0.724637681,0.757575758,0.740740741
2.5,7,0.01,0.724637681,0.757575758,0.740740741
2.5,7,0.02,0.724637681,0.757575758,0.740740741
2.5,8,0.02,0.724637681,0.757575758,0.740740741
2.5,8,0.01,0.724637681,0.757575758,0.740740741
2.5,10,0.01,0.724637681,0.757575758,0.740740741
2.5,10,0.02,0.724637681,0.757575758,0.740740741
2.5,15,0.01,0.724637681,0.757575758,0.740740741
3,4,0.133,0.724637681,0.757575758,0.740740741
3.5,4,0.1,0.724637681,0.757575758,0.740740741
4,4,0.1,0.724637681,0.757575758,0.740740741
6,3.5,0.02,0.724637681,0.757575758,0.740740741
7,3,0.02,0.724637681,0.757575758,0.740740741
7,3.5,0.02,0.724637681,0.757575758,0.740740741
8,2.5,0.02,0.724637681,0.757575758,0.740740741
8,3,0.02,0.724637681,0.757575758,0.740740741
2.5,1.5,0.233,0.68115942,0.810344828,0.74015748
2.5,1.5,0.266,0.68115942,0.810344828,0.74015748
2.5,1.5,0.2,0.68115942,0.810344828,0.74015748
2.5,1.5,0.3,0.68115942,0.810344828,0.74015748
2.5,1.5,0.35,0.68115942,0.810344828,0.74015748
2.5,1.5,0.75,0.68115942,0.810344828,0.74015748
2.5,1.5,0.4,0.68115942,0.810344828,0.74015748
2.5,1.5,0.5,0.68115942,0.810344828,0.74015748
2.5,1.5,0.45,0.68115942,0.810344828,0.74015748
2.5,1.5,0.6,0.68115942,0.810344828,0.74015748
2.5,1.5,5,0.68115942,0.810344828,0.74015748
2.5,1.5,2,0.68115942,0.810344828,0.74015748
2.5,1.5,1,0.68115942,0.810344828,0.74015748
2.5,2,0.166,0.68115942,0.810344828,0.74015748
20,4,0.01,0.782608696,0.701298701,0.739726027
20,4.5,0.01,0.782608696,0.701298701,0.739726027
5,6,0.02,0.739130435,0.739130435,0.739130435
6,5,0.02,0.739130435,0.739130435,0.739130435
6,10,0.01,0.739130435,0.739130435,0.739130435
7,5,0.02,0.739130435,0.739130435,0.739130435
8,6,0.02,0.739130435,0.739130435,0.739130435
8,8,0.01,0.739130435,0.739130435,0.739130435
10,3.5,0.04,0.739130435,0.739130435,0.739130435
3,2.5,0.2,0.695652174,0.786885246,0.738461538
4,1.5,0.133,0.695652174,0.786885246,0.738461538
4,1.5,0.166,0.695652174,0.786885246,0.738461538
4,1.5,0.233,0.695652174,0.786885246,0.738461538
4,1.5,0.2,0.695652174,0.786885246,0.738461538
4,1.5,0.266,0.695652174,0.786885246,0.738461538
4,1.5,0.35,0.695652174,0.786885246,0.738461538
4,1.5,0.3,0.695652174,0.786885246,0.738461538
4,1.5,0.4,0.695652174,0.786885246,0.738461538
4,1.5,0.45,0.695652174,0.786885246,0.738461538
4,1.5,0.5,0.695652174,0.786885246,0.738461538
4,1.5,0.6,0.695652174,0.786885246,0.738461538
4,1.5,0.75,0.695652174,0.786885246,0.738461538
4,1.5,2,0.695652174,0.786885246,0.738461538
4,1.5,5,0.695652174,0.786885246,0.738461538
4,1.5,1,0.695652174,0.786885246,0.738461538
4,2,0.1,0.695652174,0.786885246,0.738461538
1.5,3,0.166,0.652173913,0.849056604,0.737704918
3.5,20,0.02,0.753623188,0.722222222,0.737588652
7,10,0.01,0.753623188,0.722222222,0.737588652
10,5,0.02,0.753623188,0.722222222,0.737588652
10,6,0.01,0.753623188,0.722222222,0.737588652
2,6,0.075,0.710144928,0.765625,0.736842105
2.5,4.5,0.1,0.710144928,0.765625,0.736842105
4,2.5,0.01,0.710144928,0.765625,0.736842105
4,2.5,0.02,0.710144928,0.765625,0.736842105
4,3,0.02,0.710144928,0.765625,0.736842105
4,3,0.01,0.710144928,0.765625,0.736842105
4,3.5,0.02,0.710144928,0.765625,0.736842105
4,3.5,0.01,0.710144928,0.765625,0.736842105
15,4,0.01,0.768115942,0.706666667,0.736111111
15,4.5,0.01,0.768115942,0.706666667,0.736111111
15,7,0.01,0.768115942,0.706666667,0.736111111
15,8,0.01,0.768115942,0.706666667,0.736111111
15,10,0.01,0.768115942,0.706666667,0.736111111
20,3,0.01,0.768115942,0.706666667,0.736111111
2,2.5,0.2,0.666666667,0.821428571,0.736
3,5,0.01,0.724637681,0.746268657,0.735294118
3,5,0.02,0.724637681,0.746268657,0.735294118
3,6,0.01,0.724637681,0.746268657,0.735294118
3,6,0.02,0.724637681,0.746268657,0.735294118
3,7,0.01,0.724637681,0.746268657,0.735294118
3,8,0.01,0.724637681,0.746268657,0.735294118
3,10,0.01,0.724637681,0.746268657,0.735294118
3.5,6,0.02,0.724637681,0.746268657,0.735294118
3.5,7,0.02,0.724637681,0.746268657,0.735294118
3.5,15,0.01,0.724637681,0.746268657,0.735294118
4,6,0.02,0.724637681,0.746268657,0.735294118
5,4,0.075,0.724637681,0.746268657,0.735294118
5,4.5,0.02,0.724637681,0.746268657,0.735294118
6,4,0.075,0.724637681,0.746268657,0.735294118
8,4,0.05,0.724637681,0.746268657,0.735294118
20,5,0.01,0.782608696,0.692307692,0.734693878
20,6,0.01,0.782608696,0.692307692,0.734693878
2,3.5,0.166,0.68115942,0.796610169,0.734375
3,1.5,0.075,0.68115942,0.796610169,0.734375
3,1.5,0.1,0.68115942,0.796610169,0.734375
3,1.5,0.133,0.68115942,0.796610169,0.734375
3,2,0.075,0.68115942,0.796610169,0.734375
3,2,0.1,0.68115942,0.796610169,0.734375
6,6,0.02,0.739130435,0.728571429,0.73381295
2,1.5,0.2,0.637681159,0.862745098,0.733333333
2,1.5,0.266,0.637681159,0.862745098,0.733333333
2,1.5,0.35,0.637681159,0.862745098,0.733333333
2,1.5,0.3,0.637681159,0.862745098,0.733333333
2,1.5,0.4,0.637681159,0.862745098,0.733333333
2,1.5,0.233,0.637681159,0.862745098,0.733333333
2,1.5,0.75,0.637681159,0.862745098,0.733333333
2,1.5,0.6,0.637681159,0.862745098,0.733333333
2,1.5,0.45,0.637681159,0.862745098,0.733333333
2,1.5,0.5,0.637681159,0.862745098,0.733333333
2,1.5,5,0.637681159,0.862745098,0.733333333
2,1.5,2,0.637681159,0.862745098,0.733333333
2,1.5,1,0.637681159,0.862745098,0.733333333
2,2,0.166,0.637681159,0.862745098,0.733333333
2,2,0.2,0.637681159,0.862745098,0.733333333
2,4,0.01,0.695652174,0.774193548,0.732824427
2,4,0.02,0.695652174,0.774193548,0.732824427
2,4,0.05,0.695652174,0.774193548,0.732824427
2,4,0.04,0.695652174,0.774193548,0.732824427
2,4,0.075,0.695652174,0.774193548,0.732824427
2,4.5,0.01,0.695652174,0.774193548,0.732824427
2,4.5,0.02,0.695652174,0.774193548,0.732824427
2,4.5,0.04,0.695652174,0.774193548,0.732824427
2,4.5,0.05,0.695652174,0.774193548,0.732824427
2,4.5,0.075,0.695652174,0.774193548,0.732824427
4,2.5,0.166,0.695652174,0.774193548,0.732824427
4.5,1.5,0.166,0.695652174,0.774193548,0.732824427
4.5,1.5,0.2,0.695652174,0.774193548,0.732824427
4.5,1.5,0.233,0.695652174,0.774193548,0.732824427
4.5,1.5,0.133,0.695652174,0.774193548,0.732824427
4.5,1.5,0.266,0.695652174,0.774193548,0.732824427
4.5,1.5,0.35,0.695652174,0.774193548,0.732824427
4.5,1.5,0.3,0.695652174,0.774193548,0.732824427
4.5,1.5,0.4,0.695652174,0.774193548,0.732824427
4.5,1.5,0.75,0.695652174,0.774193548,0.732824427
4.5,1.5,0.6,0.695652174,0.774193548,0.732824427
4.5,1.5,0.45,0.695652174,0.774193548,0.732824427
4.5,1.5,0.5,0.695652174,0.774193548,0.732824427
4.5,1.5,1,0.695652174,0.774193548,0.732824427
4.5,1.5,5,0.695652174,0.774193548,0.732824427
4.5,1.5,2,0.695652174,0.774193548,0.732824427
4.5,2,0.1,0.695652174,0.774193548,0.732824427
